Operationer, Endast specialiserad öppen vård, Antal ingrepp/100 000 inv, NGE41 Rekonstruktion av ligament i knäled utan främmande material - Artroskopisk eller endoskopisk, Ålder: 0-85+, Båda könen
År;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2010;Riket;0,2;0,0;6,3;114,9;100,4;81,3;55,1;47,0;32,5;21,0;9,9;4,7;1,1;0,2;0,0;0,7;0,4;0,8;31,0
2010;Stockholms län;0,0;0,0;3,7;102,9;110,2;85,7;74,5;64,2;46,1;34,6;19,4;10,7;1,7;0,0;0,0;0,0;0,0;0,0;38,1
2009;Riket;0,0;0,2;5,5;96,6;89,9;64,2;36,9;39,2;28,7;13,4;6,0;2,2;1,1;1,2;0,5;1,0;0,8;0,8;25,3
2009;Stockholms län;0,0;0,0;4,6;105,2;106,7;78,9;49,5;53,5;51,5;21,0;9,9;3,5;0,8;1,1;0,0;0,0;0,0;0,0;33,3
2008;Riket;0,0;0,0;3,8;84,6;90,5;63,5;45,0;39,1;31,2;16,0;4,3;2,2;0,5;0,0;0,0;0,0;0,0;0,0;24,8
2008;Stockholms län;0,0;0,0;1,8;83,8;99,7;74,4;63,7;56,1;44,9;24,2;10,0;5,2;0,0;0,0;0,0;0,0;0,0;0,0;32,0
2007;Riket;0,0;0,0;3,1;74,5;68,1;52,1;38,8;29,3;23,5;9,9;4,5;1,3;0,8;0,0;0,0;0,0;0,0;0,0;19,8
2007;Stockholms län;0,0;0,0;0,0;32,1;29,0;31,9;25,9;17,0;13,0;7,8;4,2;1,7;1,7;0,0;0,0;0,0;0,0;0,0;11,3
2006;Riket;0,0;0,0;1,9;53,2;57,3;52,6;30,8;28,4;15,3;9,6;2,1;0,6;0,2;0,0;0,0;0,0;0,0;0,0;16,2
2006;Stockholms län;0,0;0,0;0,0;24,9;23,6;30,4;17,3;17,8;10,0;6,3;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;9,0
2005;Riket;0,0;0,0;1,5;51,8;49,9;36,5;27,5;18,8;17,3;9,6;2,6;1,4;0,2;0,0;0,0;0,0;0,0;0,0;13,9
2005;Stockholms län;0,0;0,0;0,0;30,6;20,2;17,6;15,3;11,2;7,6;5,6;2,6;0,8;0,0;0,0;0,0;0,0;0,0;0,0;7,5
Inrapporteringen för den specialiserade öppenvården har förbättrats över åren och jämförelser mellan år bör tolkas med försiktighet. I statistikdatabasen för diagnoser går det att se hur antalet inrapporterade besök i den specialiserade öppenvården ökat över tid. Förändringar mellan år kan bero på ökad inrapportering, inte på att fler faktiskt söker vård.
Socialstyrelsens statistikdatabas 2026-02-23
