Operationer, Endast sluten vård, Antal ingrepp/100 000 inv, NBL49 Sutur eller reinsertion av sena i axel eller överarm, Ålder: 0-85+, Båda könen
År;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2019;Stockholms län;0,0;0,0;0,0;0,0;0,8;1,6;3,2;5,7;9,7;13,3;16,4;23,3;28,3;27,3;22,9;11,7;2,2;0,0;8,9
2018;Riket;0,0;0,2;0,0;0,4;1,2;1,1;1,8;3,3;5,0;8,5;15,6;19,9;25,7;19,8;17,7;12,6;3,9;0,8;7,7
2018;Stockholms län;0,0;0,0;0,0;1,6;1,5;1,6;5,5;7,0;10,9;16,7;25,3;30,4;36,7;30,9;27,5;14,1;6,9;2,2;11,7
2017;Riket;0,0;0,0;0,0;0,2;0,5;0,8;2,8;3,5;5,9;9,4;17,0;25,0;28,0;23,6;20,1;12,3;4,0;1,9;8,7
2017;Stockholms län;0,0;0,0;0,0;0,0;0,7;0,6;8,0;7,8;13,3;19,5;28,9;50,1;54,2;48,3;35,7;24,3;4,8;4,4;15,7
2016;Riket;0,0;0,0;0,4;0,8;0,8;0,9;1,6;4,2;6,8;13,3;22,3;35,0;36,9;25,3;22,3;13,1;7,3;0,4;10,8
2016;Stockholms län;0,0;0,0;0,8;1,7;0,7;1,1;2,9;4,3;10,8;24,2;39,0;65,5;68,9;50,8;47,4;27,5;7,4;2,2;18,4
2015;Riket;0,2;0,0;0,0;0,4;1,2;1,2;2,0;4,9;7,4;15,6;25,1;35,4;45,7;32,8;26,3;14,7;7,4;1,6;12,6
2015;Stockholms län;0,0;0,0;0,0;0,0;1,4;2,4;4,8;8,7;16,3;27,5;50,9;63,4;96,4;69,2;52,6;32,2;10,0;2,2;22,8
2014;Riket;0,0;0,0;0,0;0,0;1,5;2,0;4,1;4,1;5,0;15,8;29,3;41,7;47,1;34,8;30,8;19,8;10,3;0,8;13,9
2014;Stockholms län;0,0;0,0;0,0;0,0;2,8;3,1;4,2;8,1;9,8;26,6;52,7;77,0;82,5;53,7;53,4;28,5;17,6;0,0;21,7
2013;Riket;0,0;0,0;0,2;0,2;1,6;2,1;2,2;4,7;9,2;19,9;30,3;36,3;52,1;45,7;36,5;22,1;8,6;3,1;15,5
2013;Stockholms län;0,0;0,0;0,0;0,8;2,9;3,2;3,1;9,3;20,1;38,0;57,3;75,2;95,3;87,7;70,5;37,4;15,0;8,8;26,9
2012;Riket;0,0;0,2;0,0;1,2;1,1;1,7;2,7;4,5;9,0;16,4;32,7;43,5;46,6;34,4;32,3;22,3;8,6;0,8;14,5
2012;Stockholms län;0,0;0,0;0,0;1,6;0,0;2,0;1,9;6,2;17,9;26,4;48,2;78,3;76,6;61,6;58,3;31,1;20,1;2,2;22,0
2011;Riket;0,0;0,0;0,4;0,5;1,6;1,4;2,9;3,7;9,2;20,8;30,8;41,9;46,9;47,1;38,9;18,0;6,5;3,6;15,5
2011;Stockholms län;0,0;0,0;0,0;1,6;1,5;1,4;4,5;4,9;20,1;32,5;46,8;74,6;85,0;89,3;69,2;21,9;10,1;4,4;24,3
2010;Riket;0,2;0,0;0,2;0,3;1,1;1,4;2,1;3,3;8,4;14,4;22,9;34,2;44,2;34,3;21,9;16,8;4,1;0,8;12,1
2010;Stockholms län;0,0;0,0;0,9;0,8;1,6;1,4;2,6;7,4;13,6;22,8;40,3;67,5;74,3;63,5;46,7;24,2;12,5;2,2;19,8
2009;Riket;0,0;0,2;0,4;0,3;1,3;0,9;1,9;3,6;9,3;14,9;24,5;30,8;37,1;31,3;19,4;14,8;6,1;2,4;11,3
2009;Stockholms län;0,0;0,0;0,9;1,6;1,7;0,7;2,6;4,4;12,9;19,6;40,2;46,1;51,2;59,0;36,2;26,3;7,4;6,8;16,2
2008;Riket;0,0;0,0;0,0;0,2;0,7;1,8;1,0;3,0;6,4;10,9;20,1;22,3;25,9;22,2;19,2;17,6;6,8;2,1;8,8
2008;Stockholms län;0,0;0,0;0,0;0,0;1,7;2,9;1,3;4,5;9,0;19,7;36,0;34,1;34,5;33,7;26,4;28,2;12,1;0,0;12,4
2007;Riket;0,0;0,0;0,0;0,2;0,7;1,6;1,8;1,6;6,9;9,0;14,6;22,3;24,4;19,2;11,4;11,0;4,8;1,3;7,4
2007;Stockholms län;0,0;0,0;0,0;0,0;2,7;1,5;4,5;2,0;6,5;12,5;22,9;35,9;27,5;27,4;20,5;24,0;7,1;2,3;10,0
2006;Riket;0,0;0,0;0,0;0,3;0,9;1,8;2,1;2,2;5,3;12,1;16,9;20,1;22,1;16,2;9,2;8,7;3,1;2,2;7,1
2006;Stockholms län;0,0;0,0;0,0;1,7;0,9;1,5;3,2;5,3;7,4;15,9;23,3;29,8;31,2;25,1;15,7;18,0;2,3;2,4;9,8
2005;Riket;0,0;0,0;0,0;0,2;0,6;0,4;1,5;3,4;6,2;9,9;17,5;23,7;23,7;17,4;7,5;4,2;2,7;1,3;7,1
2005;Stockholms län;0,0;0,0;0,0;0,0;0,0;0,0;2,6;3,9;6,3;18,5;20,0;38,5;33,1;37,1;19,3;7,9;6,7;0,0;10,3
2004;Riket;0,0;0,0;0,2;0,5;0,8;0,4;2,1;2,4;4,8;8,5;12,6;18,7;22,8;14,9;9,7;3,2;0,4;0,9;6,0
2004;Stockholms län;0,0;0,0;0,0;0,9;1,0;0,0;2,6;4,5;9,4;10,6;23,3;28,2;30,7;25,7;21,0;5,8;0,0;5,2;9,0
2003;Riket;0,0;0,0;0,0;0,0;0,6;1,1;2,5;2,4;3,7;7,3;12,5;16,9;23,0;9,5;7,4;4,0;0,4;0,5;5,4
2003;Stockholms län;0,0;0,0;0,0;0,0;1,9;2,2;2,6;3,2;5,3;10,7;17,7;31,7;37,3;14,9;19,1;11,3;2,2;0,0;8,6
2002;Riket;0,0;0,0;0,0;0,4;0,8;0,7;1,3;2,9;3,6;9,4;13,1;18,5;16,3;10,7;5,9;4,9;1,2;1,0;5,3
2002;Stockholms län;0,0;0,0;0,0;0,0;2,8;1,4;1,3;5,8;4,6;16,6;20,6;25,8;21,7;23,0;13,7;16,5;4,5;0,0;8,3
2001;Riket;0,0;0,0;0,2;0,0;1,0;0,9;0,8;1,9;4,3;7,0;12,3;17,1;13,8;9,5;7,2;2,4;1,6;0,5;4,6
2001;Stockholms län;0,0;0,0;0,0;0,0;0,9;0,7;0,7;0,7;3,1;6,8;12,0;20,3;19,3;15,5;6,8;8,8;4,6;0,0;5,1
2000;Riket;0,0;0,0;0,0;0,4;0,0;1,5;1,4;1,6;2,4;5,6;10,3;16,9;15,3;9,0;4,9;3,2;0,4;0,5;4,2
2000;Stockholms län;0,0;0,0;0,0;0,0;0,0;1,4;1,3;1,4;1,6;6,0;15,4;24,1;16,3;15,7;6,7;6,8;0,0;2,8;5,2
1999;Riket;0,0;0,2;0,4;0,4;0,4;0,7;1,8;2,7;2,2;5,5;11,1;15,4;11,1;9,1;6,8;2,3;1,3;0,0;4,1
1999;Stockholms län;0,0;0,0;0,0;2,2;0,0;0,7;1,9;4,3;2,4;11,0;21,1;11,1;20,8;20,3;11,4;8,4;5,1;0,0;6,2
1998;Riket;0,0;0,0;0,0;0,4;0,9;1,3;1,5;1,2;4,1;6,1;10,9;14,0;11,2;8,8;7,4;2,6;1,3;1,0;4,0
1998;Stockholms län;0,0;0,0;0,0;0,0;0,0;0,7;1,3;2,2;4,9;5,0;12,7;18,0;17,7;18,5;7,9;5,1;5,1;0,0;5,0
Socialstyrelsens statistikdatabas 2026-02-22
